Week,Team_1,Team_2,Team 1_Score,Team 2_Score,Winner,MarginScore
Week 8,Bengal Warriors,U Mumba,29,26,Bengal Warriors,3
Week 8,Pink Panthers,Patna Pirates,33,36,Patna Pirates,-3
Week 8,Bengal Warriors,Bengaluru Bulls,42,40,Bengal Warriors,2
Week 9,Puneri Paltan,Fortune Giants,43,33,Puneri Paltan,10
Week 9,Tamil Thalaivas,Haryana Steelers,35,43,Haryana Steelers,-8
Week 9,Dabang Delhi,Fortune Giants,34,30,Dabang Delhi,4
Week 9,Puneri Paltan,Patna Pirates,33,55,Patna Pirates,-22
Week 9,Pink Panthers,UP Yoddha,32,38,UP Yoddha,-6
Week 9,Telugu Titans,Dabang Delhi,29,37,Dabang Delhi,-8
Week 9,U Mumba,UP Yoddha,39,36,U Mumba,3
Week 9,Puneri Paltan,Tamil Thalaivas,36,36,Tamil Thalaivas,0
Week 9,Bengal Warriors,Haryana Steelers,48,36,Bengal Warriors,12
Week 9,Telugu Titans,Patna Pirates,42,42,Patna Pirates,0
Week 9,Puneri Paltan,Bengaluru Bulls,42,38,Puneri Paltan,4
Week 10,Pink Panthers,Fortune Giants,28,28,Fortune Giants,0
Week 10,UP Yoddha,Tamil Thalaivas,42,22,UP Yoddha,20
Week 10,U Mumba,Fortune Giants,31,25,U Mumba,6
Week 10,Pink Panthers,Bengal Warriors,40,41,Bengal Warriors,-1
Week 10,Patna Pirates,Haryana Steelers,34,39,Haryana Steelers,-5
Week 10,Dabang Delhi,Bengaluru Bulls,39,39,Bengaluru Bulls,0
Week 10,Telugu Titans,Bengal Warriors,39,40,Bengal Warriors,-1
Week 10,Pink Panthers,Puneri Paltan,43,34,Pink Panthers,9
Week 10,Patna Pirates,Dabang Delhi,39,43,Dabang Delhi,-4
Week 10,U Mumba,Bengaluru Bulls,33,35,Bengaluru Bulls,-2
Week 10,Pink Panthers,Telugu Titans,31,51,Telugu Titans,-20
Week 11,Haryana Steelers,UP Yoddha,30,37,UP Yoddha,-7
Week 11,Fortune Giants,Tamil Thalaivas,50,21,Fortune Giants,29
Week 11,Puneri Paltan,Dabang Delhi,40,60,Dabang Delhi,-20
Week 11,Haryana Steelers,Fortune Giants,38,37,Haryana Steelers,1
Week 11,Dabang Delhi,Bengal Warriors,33,42,Bengal Warriors,-9
Week 11,U Mumba,Tamil Thalaivas,36,32,U Mumba,4
